,Unnamed: 0,title,genre,rating,views,year,duration
364,21557,Monsieur Hulot's Holiday,Comedy,7.3,21668,1953,83
365,21574,Journey to Italy,Drama,7.3,13576,1954,97
366,21583,I Vitelloni,Comedy,7.8,22946,1953,104
367,21593,The War of the Worlds,Action,7.0,41105,1953,87
368,21624,"20,000 Leagues Under the Sea",Adventure,7.2,39929,1954,127
369,21686,The Barefoot Contessa,Crime,6.9,14160,1954,128
370,21737,The Caine Mutiny,Drama,7.7,31854,1954,124
371,21777,Creature from the Black Lagoon,Horror,6.9,37910,1954,79
372,21788,The Dam Busters,Drama,7.4,12119,1955,105
373,21807,Diabolique,Crime,8.1,72653,1955,117
374,21808,Dial M for Murder,Crime,8.2,202417,1954,105
375,21894,The Glenn Miller Story,Biography,7.3,10443,1954,115
376,21898,Godzilla,Horror,7.6,44567,1954,96
377,21974,Johnny Guitar,Drama,7.6,21273,1954,110
378,22095,On the Waterfront,Crime,8.1,176061,1954,108
379,22175,Rear Window,Drama,8.5,562968,1954,112
380,22195,River of No Return,Action,6.6,13976,1954,91
381,22209,Sabrina,Comedy,7.6,74915,1954,113
382,22215,Samurai I: Musashi Miyamoto,Action,7.4,10165,1954,93
383,22216,Sansho the Bailiff,Drama,8.3,19601,1954,124
384,22239,Seven Brides for Seven Brothers,Comedy,7.3,28956,1954,102
385,22244,Seven Samurai,Action,8.6,397555,1954,207
386,22271,A Star Is Born,Drama,7.5,20771,1954,154
387,22276,La Strada,Drama,8.0,69343,1954,108
388,22313,Them!,Horror,7.2,26341,1954,94
389,22317,This Island Earth,Horror,5.9,11295,1955,86
390,22371,Vera Cruz,Adventure,7.0,12729,1954,94
391,22389,White Christmas,Comedy,7.5,57679,1954,120
392,22393,The Wild One,Crime,6.7,18903,1953,79
393,22427,All That Heaven Allows,Drama,7.6,18119,1955,89
394,22446,Animal Farm,Animation,7.2,20858,1954,72
395,22458,Bad Day at Black Rock,Crime,7.7,26100,1955,81
396,22484,Blackboard Jungle,Crime,7.4,10443,1955,101
397,22489,Bob le Flambeur,Crime,7.5,14160,1956,102
398,22563,The Desperate Hours,Crime,7.5,11668,1955,112
399,22594,Rififi,Crime,8.1,39025,1955,118
400,22601,East of Eden,Drama,7.8,51329,1955,118
401,22684,Guys and Dolls,Comedy,7.1,20664,1955,150
402,22771,Killer's Kiss,Crime,6.5,27809,1955,67
403,22778,Kiss Me Deadly,Crime,7.5,23442,1955,106
404,22795,Lady and the Tramp,Adventure,7.3,159398,1955,76
405,22796,The Ladykillers,Comedy,7.6,33638,1955,91
406,22850,The Man from Laramie,Drama,7.3,12969,1955,103
